KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13,GPA_normalized
1,1.2,7,49,2,2,3305,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,5.0,12.0,0.4166666666666667
1,1.2,18,42,2,2,5977,4,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,3.75,4.0,0.9375
1,1.2,18,45,2,2,7557,4,33,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.8,4.0,0.95
1,1.2,47,41,2,2,2030,5,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,2.8,4.0,0.7
1,1.2,47,43,2,2,2002,4,30,2.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0
1,1.2,60,38,1,2,7187,4,30,2.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,60,39,2,2,7187,5,30,2.0,1.0,1.0,5.0,5.0,0.0,0.0,5.0,2.0,3.0,4.0,5.0,0.8
1,1.2,61,36,2,2,7127,4,30,2.0,1.0,3.0,0.0,1.0,5.0,5.0,1.0,2.0,3.0,5.3,5.87,0.9028960817717205
1,1.2,68,31,1,2,2636,4,30,2.0,1.0,1.0,5.0,5.0,0.0,5.0,0.0,1.0,3.0,4.0,4.0,1.0
1,1.2,89,36,2,2,8186,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,3.0,9.6,10.0,0.96
1,1.2,105,40,1,2,7029,3,30,2.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1.0,3.0,2.0,4.0,0.5
1,1.2,117,34,2,2,4381,4,30,2.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.8,4.0,0.95
1,1.2,121,38,2,2,4739,3,30,2.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0,4.0,4.0,1.0
1,1.2,122,39,2,2,4611,6,30,2.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.5,4.0,0.875
1,1.2,122,40,1,2,5949,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.57,4.0,0.8925
1,1.2,172,38,1,2,1311,2,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,172,40,1,2,4855,4,60,2.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,3.0,3.8,4.0,0.95
1,1.2,203,34,2,2,2751,6,30,2.0,1.0,4.0,0.0,1.0,1.0,5.0,0.0,2.0,3.0,4.0,4.0,1.0
1,1.2,214,31,1,2,2904,3,30,2.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.6,4.0,0.65
1,1.2,236,33,1,2,2327,4,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.8,4.0,0.95
1,1.2,236,34,2,2,2113,3,30,2.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.9,4.0,0.975
1,1.2,250,33,1,2,6601,3,30,2.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,3.0,4.5,5.0,0.9
1,1.2,263,41,2,2,1219,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.5
1,1.2,266,36,2,2,6776,4,30,2.0,1.0,1.0,5.0,1.0,5.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0
1,1.2,277,37,1,2,8026,3,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,2.0,3.0,3.7,5.0,0.74
1,1.2,297,53,2,2,940,4,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,4.17,4.35,0.9586206896551724
1,1.2,356,33,1,2,1112,4,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,3.0,3.0,4.0,0.75
1,1.2,377,32,1,2,5116,3,30,2.0,1.0,1.0,5.0,5.0,0.0,5.0,0.0,1.0,3.0,3.0,5.0,0.6
1,1.2,409,34,1,2,8872,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,0.75
1,1.2,409,35,2,2,3621,3,30,2.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,3.0,3.0,3.8,4.0,0.95
1,1.2,473,37,2,2,1871,4,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,3.9,4.0,0.975
1,1.2,486,32,1,2,8846,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,1.0
1,1.2,495,37,2,2,597,2,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.5,3.5,0.7142857142857143
1,1.2,503,32,2,2,7285,2,30,2.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.6,4.0,0.9
1,1.2,517,35,1,2,886,2,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.71,5.0,0.542
1,1.2,517,36,2,2,886,3,30,2.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,2.8,4.8,0.5833333333333334
1,1.2,534,33,1,2,7715,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.8,4.0,0.95
1,1.2,548,41,1,2,5644,5,30,2.0,1.0,5.0,0.0,1.0,5.0,0.0,5.0,3.0,3.0,3.6,4.0,0.9
1,1.2,548,42,1,2,5644,6,30,2.0,1.0,2.0,0.0,5.0,0.0,0.0,5.0,1.0,3.0,2.9,4.0,0.725
1,1.2,557,34,1,2,2545,3,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,593,34,2,2,4878,3,30,2.0,1.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0,4.0,4.0,1.0
