year,sex,music_lessons,music_participation,instrument_home,instrument_frequency,electronics_music,arts_tutoring,arts_community,arts_religious,gpa_norm
2014,2,5.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.4166666666666667
2014,2,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.9375
2014,2,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.95
2014,2,5.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.7
2014,2,1.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0
2014,1,5.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.75
2014,2,5.0,0.0,1.0,1.0,2.0,5.0,0.0,5.0,0.8
2014,2,1.0,5.0,1.0,3.0,2.0,0.0,5.0,1.0,0.9028960817717205
2014,1,5.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0
2014,2,5.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,0.96
2014,1,5.0,0.0,5.0,0.0,1.0,5.0,5.0,0.0,0.5
2014,2,5.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.95
2014,2,1.0,1.0,1.0,5.0,1.0,0.0,5.0,0.0,1.0
2014,2,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.875
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.8925
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.75
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,0.95
2014,2,1.0,1.0,1.0,4.0,2.0,0.0,5.0,0.0,1.0
2014,1,1.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.65
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.95
2014,2,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.975
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.9
2014,2,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.5
2014,2,1.0,5.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0
2014,1,5.0,0.0,5.0,0.0,2.0,0.0,5.0,5.0,0.74
2014,2,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.9586206896551724
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.75
2014,1,5.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,0.6
2014,1,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.75
2014,2,1.0,1.0,1.0,5.0,3.0,0.0,5.0,0.0,0.95
2014,2,5.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.975
2014,1,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0
