KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13
1,1.1,4,48,2,2,4681,4,33,1,5,0,0,5,0,0,0,2,,,
1,1.1,4,49,1,2,8968,3,60,1,5,0,0,5,0,0,0,1,,,
1,1.1,4,50,1,2,8968,4,60,1,5,0,0,5,0,0,0,1,,,
1,1.1,4,51,2,2,4681,5,30,1,0,0,0,0,0,0,0,1,,,
1,1.1,4,52,2,2,7781,3,30,1,0,0,0,0,0,0,0,2,,,
1,1.2,7,51,2,2,4044,3,30,1,5,0,0,5,0,0,0,1,2,998,4
1,1.2,7,52,2,2,4093,3,30,1,5,0,0,5,0,0,0,1,2,3.4,4
1,1.2,7,54,2,2,4093,4,30,1,5,0,0,5,0,0,0,1,2,0,0
1,1.2,7,55,1,2,3893,3,30,1,5,0,0,5,0,0,0,1,2,0,0
1,1.1,7,56,1,2,4093,5,30,1,5,0,0,5,0,0,0,0,,,
1,1.1,7,57,1,2,4016,3,30,1,5,0,0,5,0,5,0,0,,,
1,1.2,7,58,2,2,4290,3,35,1,1,6,0,5,0,0,0,1,2,0,0
1,1.2,7,60,2,2,3893,4,30,1,5,0,0,5,0,0,0,0,2,0,0
1,1.1,7,61,2,2,4016,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,7,63,1,2,4290,4,35,1,1,6,0,5,0,0,0,0,,,
1,1.1,7,64,2,2,4308,3,30,1,0,0,0,0,0,0,0,3,,,
1,1.1,7,66,1,2,4077,2,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,7,67,2,2,4077,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,7,68,2,2,4290,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,7,69,1,2,4454,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,10,36,2,2,2922,3,30,1,1,5,0,1,1,0,5,1,2,0,0
1,1.2,10,37,2,2,3172,3,30,1,5,0,5,1,5,0,0,1,2,0,0
1,1.2,10,38,2,2,3136,3,33,1,5,0,0,1,5,1,1,2,2,0,0
1,1.1,10,39,2,2,3136,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,16,37,2,2,4578,3,30,1,1,1,0,1,5,0,5,3,2,3.7,4
1,1.2,16,41,2,2,4578,4,30,1,1,4,0,1,5,0,0,5,2,0,0
1,1.1,18,53,1,2,4822,5,60,1,0,0,0,0,0,0,0,0,,,
1,1.1,19,31,1,2,9381,2,30,1,1,2,5,5,0,0,0,5,,,
1,1.1,22,33,2,2,3989,2,60,1,5,0,0,1,5,0,0,1,,,
1,1.1,22,34,1,2,4137,3,30,1,0,0,0,0,0,0,0,3,,,
1,1.1,22,35,2,2,3989,4,60,1,0,0,0,0,0,0,0,3,,,
1,1.1,22,36,1,2,4137,4,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,23,32,1,2,6758,3,30,1,1,3,0,5,0,0,5,1,,,
1,1.2,23,33,1,2,6758,4,30,1,5,0,0,5,0,0,5,1,2,3.9,4
1,1.1,23,34,2,2,6758,5,30,1,5,0,0,5,0,5,0,2,,,
1,1.1,39,34,2,2,7520,2,30,1,1,2,0,5,0,0,0,1,,,
1,1.2,40,44,2,2,6018,3,30,1,5,0,0,1,5,5,0,1,2,3.8,4
1,1.2,40,45,1,2,6018,4,30,1,1,1,0,5,0,5,0,5,2,0,0
1,1.1,41,33,1,2,7036,3,60,1,1,3,5,5,0,5,5,0,,,
1,1.2,41,36,2,2,8092,2,30,1,5,0,0,5,0,5,0,2,2,3.8,4
1,1.2,41,38,2,2,4543,4,35,1,1,6,0,1,5,5,0,1,2,4.2,5
1,1.1,41,39,1,2,5209,3,30,1,5,0,0,5,0,0,0,1,,,
1,1.2,41,40,2,2,4543,5,30,1,1,6,0,1,1,0,0,1,2,0,0
