KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13,GPA_normalized
1,1.2,7,52,2,2,4093,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.4,4.0,0.85
1,1.2,16,37,2,2,4578,3,30,1.0,1.0,1.0,0.0,1.0,5.0,0.0,5.0,3.0,2.0,3.7,4.0,0.925
1,1.2,23,33,1,2,6758,4,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,2.0,3.9,4.0,0.975
1,1.2,40,44,2,2,6018,3,30,1.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,2.0,3.8,4.0,0.95
1,1.2,41,36,2,2,8092,2,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,2.0,3.8,4.0,0.95
1,1.2,41,38,2,2,4543,4,35,1.0,1.0,6.0,0.0,1.0,5.0,5.0,0.0,1.0,2.0,4.2,5.0,0.8400000000000001
1,1.2,53,44,2,2,7899,4,30,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.4,4.0,0.85
1,1.2,53,48,1,2,5717,3,30,1.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.5,4.0,0.875
1,1.2,60,41,1,2,6093,3,30,1.0,5.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,2.0,3.44,4.0,0.86
1,1.2,114,36,2,2,9075,3,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,3.5,4.0,0.875
1,1.2,151,40,2,2,6472,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,4.1,5.0,0.82
