KIDS,KID21,ER30001,ER30002,ER32000,ER32006,ER34901,ER34902,ER34903,P21REL,P21E5,P21E6,P21E10_09,P21E15,P21E16_3,P21E26_5,P21E33_6,P21E53A,C21REL,C21B12,C21B13,C21B31,C21B32
1,1.1,4,48,2,2,3753,3,30,1,5,0,0,5,0,0,0,1,,,,,
1,1.1,4,49,1,2,4719,3,60,1,5,0,0,5,0,0,0,1,,,,,
1,1.1,4,50,1,2,4719,4,60,1,5,0,0,5,0,0,0,2,,,,,
1,1.1,4,51,2,2,3753,4,30,1,5,0,5,5,0,0,0,1,,,,,
1,1.1,4,52,2,2,6326,2,30,1,5,0,0,5,0,0,0,0,,,,,
1,1.2,7,54,2,2,4020,4,30,1,5,0,0,5,0,5,0,1,1,998,4,7,6
1,1.2,7,55,1,2,7533,3,30,1,5,0,0,5,0,0,0,1,1,0,0,2,2
1,1.2,7,56,1,2,4020,5,30,1,5,0,0,5,0,0,0,1,1,0,0,0,0
1,1.1,7,57,1,2,6614,3,30,1,5,0,0,5,0,0,0,2,,,,,
1,1.1,7,58,2,2,6517,3,35,1,1,5,5,5,0,0,0,1,,,,,
1,1.1,7,60,2,2,7533,4,30,1,5,0,0,5,0,0,0,1,,,,,
1,1.1,7,61,2,2,6614,4,30,1,5,0,0,5,0,0,0,2,,,,,
1,1.1,7,63,1,2,6517,4,35,1,5,0,5,5,0,0,0,5,,,,,
1,1.1,7,66,1,2,6528,3,30,1,0,0,0,0,0,0,0,0,,,,,
1,1.1,7,67,2,2,6528,4,30,1,0,0,0,0,0,0,0,0,,,,,
1,1.1,7,68,2,2,6517,5,35,1,0,0,0,0,0,0,0,1,,,,,
1,1.2,10,36,2,2,1220,3,30,1,5,0,0,1,5,5,5,3,1,4.2,5,6,6
1,1.1,10,37,2,2,1517,2,30,1,5,0,0,1,5,0,5,5,,,,,
1,1.2,16,37,2,2,1978,3,30,1,1,1,0,5,0,5,0,1,1,4.1,4.5,2,6
1,1.2,16,41,2,2,1978,4,30,1,1,4,0,5,0,5,1,1,1,0,0,5,6
1,1.1,18,53,1,2,2245,5,60,1,0,0,0,0,0,0,0,0,,,,,
1,1.1,22,33,2,2,6532,2,60,1,5,0,0,5,0,0,0,2,,,,,
1,1.1,22,35,2,2,6532,4,60,1,5,0,0,5,0,0,0,1,,,,,
1,1.2,23,33,1,2,4787,3,30,1,1,5,0,5,0,5,0,1,1,3.5,4,6,6
1,1.1,23,34,2,2,4787,4,30,1,5,0,0,1,5,5,0,2,,,,,
1,1.1,40,44,2,2,3314,3,30,1,5,0,0,1,5,0,5,1,,,,,
1,1.2,40,45,1,2,3314,4,30,1,5,0,0,5,0,0,5,1,1,0,0,2,2
1,1.2,41,40,2,2,4204,4,30,1,1,6,0,1,1,0,0,1,1,4.3,5,6,6
1,1.2,41,43,2,2,5149,2,30,1,5,0,0,5,0,0,0,5,1,0,0,2,2
1,1.1,41,44,1,2,3986,3,30,1,1,1,0,1,1,0,0,1,,,,,
1,1.1,41,45,1,2,3986,4,30,1,1,5,5,1,1,0,0,1,,,,,
1,1.1,41,47,1,2,3986,5,30,1,1,3,0,1,1,0,0,1,,,,,
1,1.1,41,49,1,2,5149,3,30,1,5,0,0,5,0,0,0,5,,,,,
1,1.2,45,35,2,2,4081,3,60,1,5,0,0,5,0,0,0,1,1,998,4,6,6
1,1.1,45,190,1,3,6323,4,60,1,5,0,0,5,0,0,0,1,,,,,
1,1.2,53,44,2,2,4724,2,30,1,1,2,0,5,0,0,0,1,1,3.75,4,6,6
1,1.2,53,50,2,2,6387,3,30,1,5,0,0,5,0,0,5,2,1,0,0,7,7
1,1.1,53,53,2,2,7387,3,30,1,5,0,5,5,0,0,0,0,,,,,
1,1.1,53,56,2,2,2201,3,30,1,0,0,0,0,0,0,0,5,,,,,
1,1.1,57,35,2,2,7918,4,30,1,5,0,0,5,0,0,0,1,,,,,
1,1.1,57,186,1,3,7918,3,30,1,5,0,0,5,0,0,0,2,,,,,
1,1.1,61,38,1,2,7207,3,30,1,5,0,5,5,0,0,0,2,,,,,
1,1.1,61,39,1,2,7207,4,30,1,5,0,5,5,0,0,0,2,,,,,
1,1.1,61,40,1,2,3678,3,30,1,5,0,0,1,1,0,0,0,,,,,
1,1.1,61,42,1,2,7207,5,30,1,0,0,0,0,0,0,0,1,,,,,
1,1.2,68,32,1,2,4834,4,30,1,1,1,5,5,0,5,0,1,1,3.2,4.5,6,6
1,1.2,68,33,2,2,4834,5,30,1,1,1,5,5,0,0,5,4,1,3.1,98,7,6
1,1.1,84,40,2,2,7847,4,30,1,1,6,0,1,1,0,0,2,,,,,
1,1.1,84,43,2,2,3807,3,30,1,0,0,0,0,0,0,0,2,,,,,
1,1.1,84,44,1,2,6409,4,30,1,0,0,0,0,0,0,0,5,,,,,
1,1.1,84,190,1,3,6409,3,30,1,0,0,0,0,0,0,0,5,,,,,
1,1.1,88,41,2,2,4150,3,30,1,1,3,0,5,0,0,0,4,,,,,
1,1.1,88,42,2,2,4150,4,30,1,0,0,0,0,0,0,0,3,,,,,
1,1.1,96,36,1,2,1418,3,30,1,1,5,5,5,0,5,5,2,,,,,
1,1.1,96,37,2,2,1418,4,30,1,0,0,0,0,0,0,0,4,,,,,
1,1.1,96,38,2,2,1848,3,30,1,0,0,0,0,0,0,0,5,,,,,
1,1.1,105,43,2,2,5160,3,30,1,1,5,0,1,1,0,0,1,,,,,
1,1.1,105,45,2,2,7801,4,60,1,5,0,0,5,0,0,0,3,,,,,
1,1.2,105,185,2,3,7592,2,30,1,5,0,0,5,0,0,0,1,1,998,4,7,7
1,1.1,105,198,1,3,7743,3,30,1,5,0,0,5,0,0,0,1,,,,,
1,1.2,113,33,2,2,864,4,30,1,1,2,0,5,0,0,0,2,1,998,98,6,6
1,1.2,113,34,2,2,864,5,30,1,1,2,0,5,0,0,0,2,1,0,0,0,0
1,1.1,122,42,2,2,7349,3,30,1,5,0,0,5,0,5,5,1,,,,,
1,1.2,127,38,2,2,3113,3,30,1,1,1,0,1,1,0,0,1,1,0,0,6,6
1,1.1,127,41,2,2,3113,4,30,1,1,2,0,1,5,5,0,5,,,,,
1,1.1,138,35,2,2,6623,4,30,1,1,2,0,5,0,0,0,4,,,,,
1,1.1,138,36,1,2,6623,5,30,1,1,3,0,5,0,0,0,4,,,,,
1,1.2,151,41,1,2,3872,4,30,1,5,0,0,5,0,0,0,2,1,4.2,4.8,6,6
1,1.2,151,42,2,2,3872,5,30,1,5,0,0,5,0,0,0,2,1,4.2,4.5,6,6
1,1.1,151,43,1,2,3872,6,30,1,5,0,0,5,0,0,0,5,,,,,
1,1.1,151,45,2,2,3114,3,30,1,0,0,0,0,0,0,0,0,,,,,
1,1.1,151,46,1,2,2792,3,30,1,0,0,0,0,0,0,0,2,,,,,
1,1.1,151,48,2,2,2792,4,30,1,0,0,0,0,0,0,0,0,,,,,
1,1.1,151,49,1,2,3114,4,30,1,0,0,0,0,0,0,0,0,,,,,
1,1.2,156,33,1,2,2975,4,30,1,5,0,0,5,0,0,5,1,1,3.85,4,6,6
1,1.1,165,33,1,2,533,3,30,1,5,0,5,5,0,0,0,2,,,,,
1,1.1,165,34,1,2,533,4,30,1,5,0,5,5,0,0,0,2,,,,,
1,1.2,166,34,1,2,199,3,30,1,1,1,5,5,0,5,0,1,1,4,4,7,7
1,1.2,166,35,1,2,199,4,30,1,5,0,0,5,0,0,0,2,1,0,0,99,99
1,1.1,172,44,2,2,5855,3,30,1,1,4,0,1,1,0,0,2,,,,,
1,1.1,172,45,2,2,5855,4,30,1,1,3,0,5,0,0,0,5,,,,,
1,1.1,173,43,1,2,7541,2,30,1,5,0,0,5,0,0,0,2,,,,,
1,1.1,173,44,2,2,7900,3,30,1,1,5,0,1,1,0,0,1,,,,,
1,1.2,173,45,2,2,8232,3,30,1,5,0,0,5,0,0,5,4,1,0,0,0,0
1,1.1,173,46,1,2,8232,4,30,1,5,0,0,5,0,0,5,5,,,,,
1,1.1,173,47,2,2,4143,3,35,1,5,0,0,1,1,0,0,3,,,,,
1,1.1,173,48,2,2,7900,4,30,1,5,0,0,1,5,0,0,2,,,,,
1,1.1,173,50,2,2,4143,4,35,1,0,0,0,0,0,0,0,2,,,,,
1,1.1,174,43,2,2,7391,3,30,1,5,0,0,1,5,5,0,1,,,,,
1,1.1,174,44,2,2,7391,4,30,1,0,0,0,0,0,0,0,2,,,,,
1,1.1,174,45,2,2,3239,3,30,1,0,0,0,0,0,0,0,0,,,,,
1,1.1,174,46,2,2,3239,4,30,1,0,0,0,0,0,0,0,0,,,,,
1,1.1,180,34,2,2,3277,2,30,1,5,0,0,1,1,0,0,4,,,,,
1,1.1,180,35,2,2,3277,3,30,1,5,0,0,5,0,0,0,4,,,,,
1,1.1,180,36,1,2,5464,4,30,1,5,0,0,5,0,0,0,0,,,,,
