KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13
1,1.1,4,44,2,2,2176,2,30,2,5,0,0,5,0,0,0,2,,,
1,1.1,4,48,2,2,2176,3,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,5,34,2,2,5048,3,30,2,1,5,5,5,0,5,0,5,,,
1,1.1,5,35,2,2,8024,3,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,5,36,1,2,5048,4,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,6,35,2,2,1612,3,30,2,1,5,0,1,1,5,0,1,3,0,0
1,1.1,6,36,1,2,1612,4,30,2,1,5,5,1,1,0,0,2,,,
1,1.1,6,37,2,2,1612,5,30,2,1,5,5,1,1,5,0,3,,,
1,1.1,6,40,2,2,8860,3,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,6,41,2,2,8860,4,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,7,49,2,2,3305,4,30,2,5,0,0,5,0,0,0,2,3,5,12
1,1.2,7,50,1,2,5796,2,30,2,5,0,0,5,0,0,0,0,3,0,0
1,1.2,7,51,2,2,3387,3,30,2,5,0,0,5,0,0,0,5,3,0,0
1,1.1,7,52,2,2,5796,3,30,2,5,0,0,5,0,0,0,0,,,
1,1.1,7,54,2,2,5796,4,30,2,5,0,0,5,0,0,0,0,,,
1,1.1,7,55,1,2,4127,3,30,2,5,0,0,5,0,0,0,2,,,
1,1.1,7,56,1,2,5796,5,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,7,57,1,2,8696,3,30,2,0,0,0,0,0,0,0,1,,,
1,1.1,7,58,2,2,3305,5,60,2,0,0,0,0,0,0,0,2,,,
1,1.1,7,60,2,2,4127,4,30,2,0,0,0,0,0,0,0,2,,,
1,1.2,10,36,2,2,6082,3,30,2,1,2,0,1,5,0,5,2,3,0,0
1,1.1,10,37,2,2,7473,4,60,2,0,0,0,0,0,0,0,2,,,
1,1.1,10,38,2,2,7423,3,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,14,34,1,2,1284,2,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,16,37,2,2,5453,3,30,2,1,5,0,1,1,0,5,1,3,0,0
1,1.1,16,41,2,2,5453,4,30,2,0,0,0,0,0,0,0,3,,,
1,1.2,16,177,1,3,1163,3,30,2,1,2,5,5,0,5,0,1,3,998,98
1,1.2,18,42,2,2,5977,4,30,2,1,1,0,5,0,0,0,2,3,3.75,4
1,1.1,18,43,2,2,7500,3,33,2,5,0,0,5,0,0,5,2,,,
1,1.2,18,45,2,2,7557,4,33,2,1,3,0,1,1,0,0,1,3,3.8,4
1,1.1,18,48,1,2,7190,3,60,2,5,0,0,5,0,0,0,1,,,
1,1.1,18,49,2,2,7500,4,30,2,5,0,0,1,5,0,0,4,,,
1,1.2,23,32,1,2,8607,3,30,2,5,0,0,5,0,5,0,1,3,0,0
1,1.1,23,33,1,2,8607,4,30,2,5,0,0,5,0,5,0,2,,,
1,1.1,23,34,2,2,8607,5,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,39,33,1,2,4968,4,30,2,1,6,0,5,0,0,0,1,3,0,0
1,1.2,40,44,2,2,4973,3,30,2,1,4,0,1,5,5,5,3,3,0,0
1,1.1,40,45,1,2,4973,4,30,2,5,0,0,5,0,5,0,3,,,
1,1.2,41,34,2,2,4278,3,35,2,1,5,0,1,1,0,0,0,3,0,0
1,1.1,41,37,2,2,6605,4,30,2,1,6,0,1,1,5,0,3,,,
