KIDS,KID21,ER30001,ER30002,ER32000,ER32006,ER34901,ER34902,ER34903,P21REL,P21E5,P21E6,P21E10_09,P21E15,P21E16_3,P21E26_5,P21E33_6,P21E53A,C21REL,C21B12,C21B13,C21B31,C21B32,GPA_normalized
1,1.2,10,36,2,2,1220,3,30,1,5,0,0,1,5,5,5,3,1.0,4.2,5.0,6.0,6.0,0.8400000000000001
1,1.2,16,37,2,2,1978,3,30,1,1,1,0,5,0,5,0,1,1.0,4.1,4.5,2.0,6.0,0.911111111111111
1,1.2,23,33,1,2,4787,3,30,1,1,5,0,5,0,5,0,1,1.0,3.5,4.0,6.0,6.0,0.875
1,1.2,41,40,2,2,4204,4,30,1,1,6,0,1,1,0,0,1,1.0,4.3,5.0,6.0,6.0,0.86
1,1.2,53,44,2,2,4724,2,30,1,1,2,0,5,0,0,0,1,1.0,3.75,4.0,6.0,6.0,0.9375
1,1.2,68,32,1,2,4834,4,30,1,1,1,5,5,0,5,0,1,1.0,3.2,4.5,6.0,6.0,0.7111111111111111
1,1.2,151,41,1,2,3872,4,30,1,5,0,0,5,0,0,0,2,1.0,4.2,4.8,6.0,6.0,0.8750000000000001
1,1.2,151,42,2,2,3872,5,30,1,5,0,0,5,0,0,0,2,1.0,4.2,4.5,6.0,6.0,0.9333333333333333
1,1.2,156,33,1,2,2975,4,30,1,5,0,0,5,0,0,5,1,1.0,3.85,4.0,6.0,6.0,0.9625
1,1.2,166,34,1,2,199,3,30,1,1,1,5,5,0,5,0,1,1.0,4.0,4.0,7.0,7.0,1.0
1,1.2,200,44,1,2,3950,2,30,1,5,0,0,5,0,0,0,1,1.0,3.2,4.0,2.0,2.0,0.8
1,1.2,236,38,2,2,6412,5,30,1,1,1,0,5,0,5,0,1,1.0,3.8,4.0,7.0,7.0,0.95
1,1.2,236,39,2,2,6412,6,30,1,1,1,0,5,0,5,0,1,1.0,2.8,4.0,7.0,6.0,0.7
1,1.2,263,42,1,2,534,4,30,1,1,1,5,5,0,0,0,1,1.0,2.7,4.0,2.0,2.0,0.675
1,1.2,267,33,2,2,498,3,30,1,1,3,0,5,0,5,5,2,1.0,4.0,4.0,7.0,6.0,1.0
1,1.2,297,65,1,2,5550,4,30,1,5,0,0,5,0,0,0,2,1.0,4.5,4.8,6.0,6.0,0.9375
1,1.2,308,38,1,2,2662,3,30,1,1,1,0,5,0,0,0,1,1.0,3.1,4.0,6.0,6.0,0.775
1,1.2,317,37,2,2,3048,3,30,1,1,5,0,1,1,0,0,1,1.0,3.8,4.0,6.0,6.0,0.95
1,1.2,317,38,1,2,3048,4,30,1,1,3,0,1,1,0,0,1,1.0,4.0,4.0,6.0,6.0,1.0
1,1.2,317,39,1,2,4050,4,30,1,1,2,0,5,0,5,0,1,1.0,3.9,4.0,7.0,6.0,0.975
1,1.2,321,181,1,3,4500,3,30,1,1,1,0,5,0,0,0,1,1.0,3.78,4.0,7.0,7.0,0.945
1,1.2,368,35,1,2,5747,4,30,1,1,1,0,5,0,0,0,2,1.0,3.8,5.0,7.0,7.0,0.76
1,1.2,368,36,1,2,7648,4,30,1,1,2,0,5,0,5,0,2,1.0,3.5,5.0,7.0,6.0,0.7
1,1.2,368,37,2,2,7648,5,30,1,1,2,0,5,0,5,0,2,1.0,4.02,5.0,6.0,6.0,0.8039999999999999
1,1.2,409,38,2,2,6027,2,30,1,1,2,5,5,0,0,0,2,1.0,5.4,6.0,6.0,6.0,0.9
1,1.2,445,36,2,2,6339,4,30,1,1,2,0,5,0,0,0,1,1.0,4.1,5.0,6.0,6.0,0.82
1,1.2,473,47,1,2,3585,3,30,1,5,0,0,5,0,0,5,1,1.0,3.5,4.0,6.0,3.0,0.875
1,1.2,478,47,2,2,3141,4,30,1,1,2,0,5,0,0,0,1,1.0,3.5,4.0,6.0,6.0,0.875
1,1.2,541,36,2,2,358,2,30,1,1,3,0,1,1,5,0,1,1.0,3.5,4.0,6.0,6.0,0.875
1,1.2,565,35,2,2,3778,3,30,1,5,0,0,5,0,0,0,1,1.0,3.5,4.0,6.0,6.0,0.875
1,1.2,577,33,2,2,1166,3,30,1,1,5,0,5,0,0,0,1,1.0,3.7,4.0,4.0,2.0,0.925
1,1.2,595,32,1,2,1639,2,30,1,5,0,0,5,0,0,0,3,1.0,4.0,4.5,6.0,6.0,0.8888888888888888
1,1.2,605,33,2,2,1890,3,30,1,1,2,0,5,0,5,5,2,1.0,4.59,5.0,7.0,7.0,0.9179999999999999
1,1.2,641,34,2,2,1834,3,30,1,5,0,0,5,0,5,0,1,1.0,4.3,4.5,7.0,5.0,0.9555555555555555
1,1.2,647,37,1,2,3877,2,30,1,1,1,0,5,0,0,5,1,1.0,3.8,4.0,6.0,6.0,0.95
1,1.2,706,33,1,2,1269,3,30,1,5,0,0,5,0,0,0,2,1.0,3.5,4.0,3.0,3.0,0.875
1,1.2,712,35,2,2,4449,3,30,1,1,6,0,1,1,0,0,1,1.0,3.9,4.0,6.0,6.0,0.975
1,1.2,749,39,2,2,7458,5,30,1,5,0,0,5,0,1,0,1,1.0,3.83,4.0,2.0,2.0,0.9575
1,1.2,751,45,2,2,7362,2,30,1,5,0,0,5,0,0,0,2,1.0,2.3,4.0,3.0,2.0,0.575
1,1.2,751,46,1,2,7607,4,30,1,1,2,0,5,0,0,0,1,1.0,3.2,4.1,7.0,6.0,0.7804878048780489
1,1.2,828,31,2,2,1098,2,30,1,5,0,0,5,0,0,0,1,1.0,3.8,4.0,7.0,6.0,0.95
1,1.2,860,30,1,2,18,3,30,1,1,3,0,5,0,0,0,1,1.0,3.9,4.5,6.0,6.0,0.8666666666666667
1,1.2,863,38,2,2,4038,3,30,1,5,0,0,5,0,0,0,1,1.0,3.2,4.0,6.0,6.0,0.8
1,1.2,894,36,1,2,2215,3,30,1,1,1,0,5,0,0,0,1,1.0,4.0,5.3,7.0,7.0,0.7547169811320755
1,1.2,906,33,2,2,3173,3,30,1,1,2,0,5,0,5,5,1,1.0,3.8,5.0,7.0,7.0,0.76
1,1.2,961,42,1,2,4390,2,30,1,1,1,0,5,0,5,0,5,1.0,3.93,4.0,98.0,5.0,0.9825
1,1.2,1051,49,2,2,6341,3,30,1,1,1,5,5,0,0,0,1,1.0,4.2,4.5,7.0,7.0,0.9333333333333333
1,1.2,1051,50,2,2,6341,4,30,1,1,5,0,1,1,0,0,1,1.0,4.0,4.5,7.0,7.0,0.8888888888888888
1,1.2,1066,39,2,2,2367,3,33,1,1,1,5,5,0,0,0,1,1.0,2.8,4.0,5.0,6.0,0.7
